Ingenuity Canonical Pathways,nlogp,Ratio,z-score,combined,Molecules
"Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis",6.38,0.227,#NUM!,#NUM!,"ACVR2B,ADAMTS4,AKT1,APC,AXIN1,BIRC2,BMP1,BMP2,BMP4,BMP8B,BMPR1A,CBL,CHP1,CSF1R,CSNK1D,CSNK1E,CTNNB1,DVL1,FRZB,FZD1,FZD2,FZD5,GSN,IKBKE,IL1A,IL1B,IL1RAPL1,ITGB3,LEF1,LRP1,MAP2K6,MAP2K7,MAP3K14,MMP1,NFKBIA,NGFR,PIK3C2B,PIK3R1,PIK3R3,PPP3CA,PPP3CC,RELA,SFRP1,SMAD4,SMAD6,SOST,TCF3,TGFB1,TNFRSF11B,TNFRSF1B,TRAF2,WNT2B"
Hepatic Fibrosis / Hepatic Stellate Cell Activation,4.87,0.219,#NUM!,#NUM!,"BAMBI,CCL2,CCN2,CD14,COL16A1,COL1A2,COL20A1,COL4A1,COL4A2,COL4A5,COL6A1,COL6A2,COL6A3,COL8A1,CYP2E1,EDN1,EGFR,ICAM1,IFNAR1,IL1A,IL1B,IL1RAPL1,KDR,MMP1,MYO10,MYO18A,NFKB2,NGFR,PDGFA,PDGFC,PDGFRB,RELA,RELB,SERPINE1,SMAD4,TGFB1,TGFB3,TIMP1,TIMP2,TLR4,TNFRSF11B,TNFRSF1B"
Regulation of the Epithelial-Mesenchymal Transition Pathway,4.4,0.211,#NUM!,#NUM!,"AKT1,APC,AXIN1,BRAF,CTNNB1,DVL1,DVL3,EGFR,EGR1,ETS1,FGF5,FZD1,FZD2,FZD5,JAK3,LEF1,LOX,MAP2K1,MAP2K6,MAP2K7,NFKB2,NOTCH1,NOTCH2,NOTCH3,PARD6G,PDGFRB,PIK3C2B,PIK3R1,PIK3R3,RAP1A,RASD1,RELA,RELB,RRAS,SMAD4,SNAI2,SOS1,TCF3,TGFB1,TGFB3,WNT2B"
Axonal Guidance Signaling,4.23,0.168,#NUM!,#NUM!,"ABLIM3,ADAM11,ADAM19,ADAM22,ADAM28,ADAM9,ADAMTS16,ADAMTS2,ADAMTS3,ADAMTS4,ADAMTS6,AKT1,ARPC4,BDNF,BMP1,BMP2,BMP4,BMP8B,BRCC3,CDK5,CHP1,DPYSL2,EFNB2,EIF3H,EPHA4,EPHB4,ERAP2,FYN,FZD1,FZD2,FZD5,GIT1,GLI1,GNAI1,GNB1,GNG11,ITGAE,ITGB3,ITGB6,ITGB8,KALRN,MAP2K1,MMP1,MMP10,MMP16,MYL12A,MYL12B,MYSM1,NGF,NGFR,PAK1,PAPPA2,PDGFA,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PLCD3,PLXNB1,PLXNB2,PPP3CA,PPP3CC,PRKACB,PRKCD,PRKCI,PTK2,RAP1A,RASD1,ROBO3,RRAS,SDC2,SEMA3C,SEMA3D,SEMA4A,SEMA4C,SEMA4G,SHH,SLIT2,SOS1,SRGAP1,SRGAP3,TUBA1A,TUBG1,WIPF1,WNT2B,ZNF875"
Iron homeostasis signaling pathway,3.94,0.221,#NUM!,#NUM!,"ALAS2,ARNT,ATP6V0A1,ATP6V0D1,ATP6V0E1,ATP6V0E2,ATP6V1C1,ATP6V1G1,ATP6V1H,BMP1,BMP2,BMP4,BMP8B,BMPR1A,CDC34,CIAO2B,EGFR,GDF15,HFE,JAK3,LRP1,MCOLN1,NFS1,PDGFA,PDGFRB,SLC25A37,SMAD4,STAT5A,STAT5B,TCIRG1,TFRC,TMPRSS6"
Germ Cell-Sertoli Cell Junction Signaling,3.91,0.211,#NUM!,#NUM!,"ACTN1,AFDN,AKT1,AXIN1,CTNNA1,CTNNB1,EPN2,GSN,KEAP1,MAP2K1,MAP2K6,MAP2K7,MAP3K1,MAP3K10,MAP3K14,MAP3K4,MAP3K9,NECTIN2,PAK1,PIK3C2B,PIK3R1,PIK3R3,PTK2,RAP1A,RASD1,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3,RRAS,TGFB1,TGFB3,TUBA1A,TUBG1"
Tight Junction Signaling,3.4,0.199,#NUM!,#NUM!,"AFDN,AKT1,ARHGEF2,BET1L,CDK4,CGN,CLDN9,CPSF4,CSTF2T,CTNNA1,CTNNB1,F11R,MYO10,MYO18A,NAPA,NECTIN2,NFKB2,NGFR,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,PRKACB,PRKCI,RELA,RELB,STX16,SYMPK,TGFB1,TGFB3,TNFRSF11B,TNFRSF1B,VAMP2,VTI1A,YBX3"
Chondroitin and Dermatan Biosynthesis,2.72,0.667,#NUM!,#NUM!,"CHPF,CHPF2,CSGALNACT1,CSGALNACT2"
Phagosome Maturation,2.64,0.187,#NUM!,#NUM!,"ATP6V0A1,ATP6V0D1,ATP6V0E1,ATP6V0E2,ATP6V1C1,ATP6V1G1,ATP6V1H,BET1L,CANX,CTSA,CTSD,CTSS,CYBB,DYNC1I1,DYNC1LI1,DYNC2H1,HLA-B,LAMP1,M6PR,NAPA,RAB7B,STX16,TCIRG1,TSG101,TUBA1A,TUBG1,TUBG2,VAMP2,VPS18,VPS33B,VPS37A,VTI1A"
Transcription from mitochondrial promoters,2.29,0.75,#NUM!,#NUM!,"MTERF1,POLRMT,TFAM"
Coenzyme A Biosynthesis,2.29,0.75,#NUM!,#NUM!,"COASY,DCAKD,PPCDC"
Clathrin-mediated Endocytosis Signaling,2.03,0.167,#NUM!,#NUM!,"AP1S1,AP2A1,AP2M1,AP3S2,AP4S1,AP5M1,AP5S1,APOE,APOL1,ARPC4,ARRB1,CBL,CHP1,DAB2,FGF5,HGS,HIP1,ITGB3,ITGB6,ITGB8,LDLR,MYO6,NUMB,PCYOX1,PDGFA,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PPP3CA,PPP3CC,SNX9,SYNJ1,TFRC,TSG101"
Role of IL-17A in Arthritis,1.99,0.224,#NUM!,#NUM!,"CCL2,MAP2K1,MAP2K6,MAPK13,MAPKAPK2,MMP1,NFKB2,NFKBIA,PIK3C2B,PIK3R1,PIK3R3,RELA,RELB"
Circadian Rhythm Signaling,1.98,0.159,#NUM!,#NUM!,"ADCY6,ADCY7,BDNF,BHLHE41,BRAF,CACNA1F,CACNA2D2,CACNG7,CATSPER3,CREB3L2,CRY2,CSNK1D,CSNK1E,DBP,EIF4EBP1,FBXL3,FRK,FYN,GAD1,GNAI1,GNB1,GNG11,GRIN2D,MAP2K1,MAP2K6,MAP2K7,MYC,NGF,NGFR,NR1D1,PER1,PLCB3,PLCD3,PRKAB2,PRKACB,PRKCD,PRKCI,RACK1,RAP1A,RASD1,RORB,RRAS,YES1"
Selenocysteine Biosynthesis II (Archaea and Eukaryotes),1.67,0.5,#NUM!,#NUM!,"SARS1,SEPHS1,SEPHS2"
UDP-N-acetyl-D-glucosamine Biosynthesis II,1.67,0.5,#NUM!,#NUM!,"GNPNAT1,PGM3,UAP1"
Xenobiotic Metabolism Signaling,1.6,0.148,#NUM!,#NUM!,"ALDH16A1,ALDH1L1,ANKRA2,ARNT,CAMK4,CHST15,CHST2,CHST4,CYP1B1,GSTO1,HDAC5,HS3ST1,HS6ST1,HSP90B1,IL1A,IL1B,KEAP1,MAP2K1,MAP2K6,MAP2K7,MAP3K1,MAP3K10,MAP3K14,MAP3K4,MAP3K9,MAPK13,MAPK7,MGST1,MGST2,NDST1,NDST3,NFKB2,NRIP1,PIK3C2B,PIK3R1,PIK3R3,PPARGC1A,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,PRKCD,PRKCI,RAP1A,RASD1,RELA,RELB,RRAS"
Semaphorin Signaling in Neurons,1.56,0.203,#NUM!,#NUM!,"CDK5,DPYSL2,FYN,PAK1,PLXNB1,PTK2,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3"
TYSND1 cleaves peroxisomal proteins,1.46,0.429,#NUM!,#NUM!,"AGPS,SCP2,TYSND1"
Regulation of CDH19 Expression and Function,1.46,0.429,#NUM!,#NUM!,"CTNNA1,CTNNB1,ZC3H12A"
Arsenate Detoxification I (Glutaredoxin),1.46,0.429,#NUM!,#NUM!,"GLRX2,GSTO1,LACC1"
Arginine Degradation VI (Arginase 2 Pathway),1.46,0.429,#NUM!,#NUM!,"ARG2,PYCR1,PYCR2"
Uridine-5'-phosphate Biosynthesis,1.46,0.667,#NUM!,#NUM!,"CAD,UMPS"
Assembly of RNA Polymerase I Complex,1.44,0.333,#NUM!,#NUM!,"POLR1A,POLR1D,TAF1D,TBP"
rRNA modification in the mitochondrion,1.3,0.375,#NUM!,#NUM!,"MT-RNR2,MTERF4,TFB1M"
STAT5 Activation,1.3,0.375,#NUM!,#NUM!,"GAB2,STAT5A,STAT5B"
NFE2L2 regulates pentose phosphate pathway genes,1.3,0.375,#NUM!,#NUM!,"MAFG,TALDO1,TKT"
Regulation of NFE2L2 gene expression,1.3,0.375,#NUM!,#NUM!,"MYC,NOTCH1,RELA"
Formation of intermediate mesoderm,1.3,0.375,#NUM!,#NUM!,"BMP4,OSR1,PAX8"
Purine Ribonucleosides Degradation to Ribose-1-phosphate,1.3,0.375,#NUM!,#NUM!,"ADA,LACC1,PGM2"
Cardiomyocyte Differentiation via BMP Receptors,1.21,0.231,#NUM!,#NUM!,"ACVR2B,BMP2,BMP4,BMPR1A,SMAD4,SMAD6"
Phenylethylamine Degradation I,1.19,0.5,#NUM!,#NUM!,"AOC2,AOC3"
Methylmalonyl Pathway,1.19,0.5,#NUM!,#NUM!,"MCEE,PCCA"
Ascorbate Recycling (Cytosolic),1.19,0.5,#NUM!,#NUM!,"GLRX,GSTO1"
D-glucuronate Degradation I,1.19,0.5,#NUM!,#NUM!,"AKR1B1,CRYL1"
Proline Biosynthesis I,1.19,0.5,#NUM!,#NUM!,"PYCR1,PYCR2"
Molybdenum Cofactor Biosynthesis,1.19,0.5,#NUM!,#NUM!,"MOCS3,NFS1"
Heme Biosynthesis II,1.16,0.333,#NUM!,#NUM!,"ALAD,ALAS2,PPOX"
Histidine Degradation VI,1.14,0.222,#NUM!,#NUM!,"AMDHD1,CYP1B1,CYP2E1,CYP4V2,CYP4X1,MICAL2"
Urate Biosynthesis/Inosine 5'-phosphate Degradation,1.11,0.267,#NUM!,#NUM!,"IMPDH1,LACC1,NT5M,XDH"
Hypoxia Signaling in the Cardiovascular System,1.05,0.167,#NUM!,#NUM!,"AKT1,ARNT,CDC34,CREB3L2,CSNK1D,EDN1,HSP90B1,NFKBIA,TP53,UBE2E2,UBE2J1,UBE2R2,UBE2V1"
Caspase activation via Dependence Receptors in the absence of ligand,1.04,0.3,#NUM!,#NUM!,"CASP3,DAPK3,MAGED1"
Interleukin-9 signaling,1.04,0.3,#NUM!,#NUM!,"JAK3,STAT5A,STAT5B"
Calcium Transport I,1.04,0.3,#NUM!,#NUM!,"ATP2A1,ATP2B4,ATP2C1"
Transmission across Electrical Synapses,1.01,0.4,#NUM!,#NUM!,"GJC1,PANX2"
Reelin signalling pathway,1.01,0.4,#NUM!,#NUM!,"FYN,VLDLR"
Formation of lateral plate mesoderm,1.01,0.4,#NUM!,#NUM!,"BMP4,SHH"
Proline Biosynthesis II (from Arginine),1.01,0.4,#NUM!,#NUM!,"PYCR1,PYCR2"
Tetrapyrrole Biosynthesis II,1.01,0.4,#NUM!,#NUM!,"ALAD,ALAS2"
CMP-N-acetylneuraminate Biosynthesis I (Eukaryotes),1.01,0.4,#NUM!,#NUM!,"NANP,NANS"
2-oxobutanoate Degradation I,1.01,0.4,#NUM!,#NUM!,"MCEE,PCCA"
Glutamate Degradation III (via 4-aminobutyrate),1.01,0.4,#NUM!,#NUM!,"GAD1,SUCLG2"
Acetate Conversion to Acetyl-CoA,1.01,0.4,#NUM!,#NUM!,"ACSS1,DIP2A"
Glucocorticoid Receptor Signaling,0.979,0.128,#NUM!,#NUM!,"ADRB2,AKT1,ARG2,BAG1,CAV1,CCL2,CDKN1A,CHP1,CYC1,DCAF6,DNAH1,EGFR,ERCC2,FKBP5,GTF2E2,HLA-B,HLTF,HSP90B1,HSPA5,ICAM1,IFNAR1,IKBKE,IL15RA,IL17RD,IL17RE,IL1A,IL1B,IRF3,JAK3,KAT2B,KRT15,KRT80,MAP2K1,MAP2K7,MAP3K1,MAP3K14,MAPK13,MMP1,MNAT1,MYC,NDUFA10,NFKB2,NFKBIA,NRIP1,PBRM1,PC,PIK3C2B,PIK3R1,PIK3R3,POLR2C,POLR2L,PPARG,PPP3CA,PPP3CC,PRKAB2,PRKACB,RAP1A,RASD1,RELA,RRAS,SDHA,SERPINE1,SMAD4,SMARCA4,SOS1,STAT5A,STAT5B,TAF2,TAF4B,TAF6L,TBP,TFAM,TFB1M,TGFB1,TGFB3,TRAF2,TSG101"
Thio-molybdenum Cofactor Biosynthesis,0.953,1,#NUM!,#NUM!,MOCOS
Acyl Carrier Protein Metabolism,0.953,1,#NUM!,#NUM!,AASDHPPT
Glutamate Removal from Folates,0.953,1,#NUM!,#NUM!,GGH
Asparagine Biosynthesis I,0.953,1,#NUM!,#NUM!,ASNS
Lanosterol Biosynthesis,0.953,1,#NUM!,#NUM!,LSS
Sulfite Oxidation IV,0.953,1,#NUM!,#NUM!,SUOX
Alanine Biosynthesis III,0.953,1,#NUM!,#NUM!,NFS1
Glutaryl-CoA Degradation,0.948,0.235,#NUM!,#NUM!,"ACAT2,CYP2S1,HSD17B10,L3HYPDH"
Adenosine Nucleotides Degradation II,0.948,0.235,#NUM!,#NUM!,"ADA,LACC1,NT5M,XDH"
RHO GTPases activate KTN1,0.938,0.273,#NUM!,#NUM!,"KLC3,KLC4,KTN1"
NFE2L2 regulating tumorigenic genes,0.938,0.273,#NUM!,#NUM!,"AREG,NOTCH1,PDGFA"
Ubiquinol-10 Biosynthesis (Eukaryotic),0.906,0.194,#NUM!,#NUM!,"CYP1B1,CYP2E1,CYP4V2,CYP4X1,ECHDC1,MICAL2"
Isoleucine Degradation I,0.877,0.222,#NUM!,#NUM!,"ACADSB,ACAT2,BCAT2,HSD17B10"
Synthesis of Lipoxins (LX),0.862,0.333,#NUM!,#NUM!,"HPGD,PTGR1"
"Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate",0.862,0.333,#NUM!,#NUM!,"GART,MTHFD1L"
Pentose Phosphate Pathway (Non-oxidative Branch),0.862,0.333,#NUM!,#NUM!,"TALDO1,TKT"
Glycerol Degradation I,0.862,0.333,#NUM!,#NUM!,"GK5,GPD2"
GDP-mannose Biosynthesis,0.862,0.333,#NUM!,#NUM!,"GMPPA,GMPPB"
Role of MAPK Signaling in the Pathogenesis of Influenza,0.857,0.155,#NUM!,#NUM!,"AKT1,CASP3,CCL2,MAP2K1,MAP2K6,MAP2K7,MAPK13,PLAAT4,PLAAT5,PNPLA2,RAP1A,RASD1,RRAS"
Vitamin D (calciferol) metabolism,0.848,0.25,#NUM!,#NUM!,"CUBN,CYP24A1,VDR"
Specification of primordial germ cells,0.848,0.25,#NUM!,#NUM!,"BMP4,CBFA2T2,TET2"
UDP-N-acetyl-D-galactosamine Biosynthesis II,0.848,0.25,#NUM!,#NUM!,"GNPNAT1,PGM3,UAP1"
Pregnenolone Biosynthesis,0.805,0.192,#NUM!,#NUM!,"CYP1B1,CYP2E1,CYP4V2,CYP4X1,MICAL2"
Passive transport by Aquaporins,0.77,0.231,#NUM!,#NUM!,"AQP1,AQP3,AQP6"
Dissolution of Fibrin Clot,0.77,0.231,#NUM!,#NUM!,"S100A10,SERPINB2,SERPINE1"
Dolichyl-diphosphooligosaccharide Biosynthesis,0.77,0.231,#NUM!,#NUM!,"ALG1,ALG6,ALG8"
Methylglyoxal Degradation III,0.765,0.176,#NUM!,#NUM!,"AKR1B1,AKR1C3,CYP2E1,DHRS7,HSD17B12,PTGR1"
"Role of JAK1, JAK2 and TYK2 in Interferon Signaling",0.755,0.185,#NUM!,#NUM!,"IFNAR1,NFKB2,PTPN2,RELA,RELB"
Ceramide Biosynthesis,0.748,0.286,#NUM!,#NUM!,"DEGS2,KDSR"
Thioredoxin Pathway,0.748,0.286,#NUM!,#NUM!,"TXNRD1,TXNRD3"
Phosphatidylcholine Biosynthesis I,0.748,0.286,#NUM!,#NUM!,"CHKA,PHKA1"
Salvage Pathways of Pyrimidine Deoxyribonucleotides,0.748,0.286,#NUM!,#NUM!,"TK1,TK2"
Glycoaminoglycan-protein Linkage Region Biosynthesis,0.748,0.286,#NUM!,#NUM!,"B3GALT6,XYLT2"
Carnitine metabolism,0.701,0.214,#NUM!,#NUM!,"ACACB,PPARD,PRKAB2"
LGI-ADAM interactions,0.701,0.214,#NUM!,#NUM!,"ADAM11,ADAM22,DLG4"
Glutamate and glutamine metabolism,0.701,0.214,#NUM!,#NUM!,"PYCR1,PYCR2,RIMKLB"
Formation of axial mesoderm,0.701,0.214,#NUM!,#NUM!,"CTNNB1,LEF1,SHH"
DNA Double-Strand Break Repair by Homologous Recombination,0.701,0.214,#NUM!,#NUM!,"GEN1,NBN,POLA1"
DNA Double-Strand Break Repair by Non-Homologous End Joining,0.701,0.214,#NUM!,#NUM!,"NBN,XRCC1,XRCC4"
Choline Biosynthesis III,0.701,0.214,#NUM!,#NUM!,"PHKA1,PLD2,PLD3"
Guanosine Nucleotides Degradation III,0.701,0.214,#NUM!,#NUM!,"LACC1,NT5M,XDH"
Dolichol and Dolichyl Phosphate Biosynthesis,0.677,0.5,#NUM!,#NUM!,DOLK
All-trans-decaprenyl Diphosphate Biosynthesis,0.677,0.5,#NUM!,#NUM!,PDSS1
S-methyl-5'-thioadenosine Degradation II,0.677,0.5,#NUM!,#NUM!,LACC1
L-DOPA Degradation,0.677,0.5,#NUM!,#NUM!,COMT
GDP-L-fucose Biosynthesis II (from L-fucose),0.677,0.5,#NUM!,#NUM!,FPGT
Thyroid Hormone Biosynthesis,0.677,0.5,#NUM!,#NUM!,CTSD
Glycerol-3-phosphate Shuttle,0.677,0.5,#NUM!,#NUM!,GPD2
Glutamate Dependent Acid Resistance,0.677,0.5,#NUM!,#NUM!,GAD1
TRAIL signaling,0.654,0.25,#NUM!,#NUM!,"CASP8,TNFRSF10D"
Sucrose Degradation V (Mammalian),0.654,0.25,#NUM!,#NUM!,"GALM,TPI1"
Phosphatidylethanolamine Biosynthesis II,0.654,0.25,#NUM!,#NUM!,"CHKA,PCYT2"
Adenine and Adenosine Salvage III,0.654,0.25,#NUM!,#NUM!,"ADA,LACC1"
Synthesis of Prostaglandins (PG) and Thromboxanes (TX),0.639,0.2,#NUM!,#NUM!,"AKR1C3,HPGD,PTGES"
Mitotic Telophase/Cytokinesis,0.639,0.2,#NUM!,#NUM!,"PDS5B,PTGER4,SMC1A"
Telomere Extension by Telomerase,0.639,0.2,#NUM!,#NUM!,"NBN,TERF1,TERF2IP"
"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",0.624,0.167,#NUM!,#NUM!,"FBXO32,HDAC1,PPARGC1A,SMAD4,SREBF1"
Rap1 signalling,0.583,0.188,#NUM!,#NUM!,"PRKACB,RAP1A,RAPGEF3"
Mevalonate Pathway I,0.583,0.188,#NUM!,#NUM!,"ACAT2,IDI1,PMVK"
Granulocyte Adhesion and Diapedesis,0.58,0.127,#NUM!,#NUM!,"ACKR3,C5,CCL2,CCL28,CCR3,CCRL2,CLDN9,CXCL11,CXCL2,FPR1,GNAI1,ICAM1,IL1A,IL1B,IL1RAPL1,MMP1,MMP10,MMP16,MSN,NGFR,SDC2,SDC3,SELL,SELPLG,TNFRSF11B,TNFRSF1B"
RHO GTPases Activate Rhotekin and Rhophilins,0.577,0.222,#NUM!,#NUM!,"LIN7B,RHOC"
Malate-aspartate shuttle,0.577,0.222,#NUM!,#NUM!,"MDH2,SLC25A13"
Sphingosine and Sphingosine-1-phosphate Metabolism,0.577,0.222,#NUM!,#NUM!,"ASAH1,SGPP2"
Histidine Degradation III,0.577,0.222,#NUM!,#NUM!,"AMDHD1,MTHFD1L"
Leucine Degradation I,0.577,0.222,#NUM!,#NUM!,"BCAT2,HMGCL"
GDP-glucose Biosynthesis,0.577,0.222,#NUM!,#NUM!,"PGM2,PGM3"
Regulation of RUNX1 Expression and Activity,0.559,0.167,#NUM!,#NUM!,"AGO2,AGO4,CCND1,CCND3"
IL-22 Signaling,0.559,0.167,#NUM!,#NUM!,"AKT1,MAPK13,STAT5A,STAT5B"
Tryptophan Degradation III (Eukaryotic),0.559,0.167,#NUM!,#NUM!,"ACAT2,CYP2S1,HSD17B10,L3HYPDH"
FAT10 Signaling Pathway,0.548,0.143,#NUM!,#NUM!,"PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4"
Metabolism of folate and pterines,0.533,0.176,#NUM!,#NUM!,"ALDH1L1,DHFR,MTHFD1L"
Chondroitin Sulfate Degradation (Metazoa),0.533,0.176,#NUM!,#NUM!,"ARSB,GM2A,OGA"
RHO GTPases regulate CFTR trafficking,0.525,0.333,#NUM!,#NUM!,GOPC
Lactose synthesis,0.525,0.333,#NUM!,#NUM!,SLC2A1
MTF1 activates gene expression,0.525,0.333,#NUM!,#NUM!,CSRP1
Metabolism of vitamin K,0.525,0.333,#NUM!,#NUM!,VKORC1
Intracellular oxygen transport,0.525,0.333,#NUM!,#NUM!,CYGB
NFE2L2 regulating TCA cycle genes,0.525,0.333,#NUM!,#NUM!,IDH1
Diphthamide Biosynthesis,0.525,0.333,#NUM!,#NUM!,EEF2
Methylglyoxal Degradation I,0.525,0.333,#NUM!,#NUM!,HAGHL
Serine Biosynthesis,0.525,0.333,#NUM!,#NUM!,UBAC2
Spermine Biosynthesis,0.525,0.333,#NUM!,#NUM!,AMD1
5-aminoimidazole Ribonucleotide Biosynthesis I,0.525,0.333,#NUM!,#NUM!,GART
Thyronamine and Iodothyronamine Metabolism,0.525,0.333,#NUM!,#NUM!,DIO2
Tetrahydrobiopterin Biosynthesis I,0.525,0.333,#NUM!,#NUM!,PTS
L-cysteine Degradation III,0.525,0.333,#NUM!,#NUM!,CISD1
Spermidine Biosynthesis I,0.525,0.333,#NUM!,#NUM!,AMD1
Biotin-carboxyl Carrier Protein Assembly,0.525,0.333,#NUM!,#NUM!,ACACB
Xanthine and Xanthosine Salvage,0.525,0.333,#NUM!,#NUM!,LACC1
Thyroid Hormone Metabolism I (via Deiodination),0.525,0.333,#NUM!,#NUM!,DIO2
Tetrahydrobiopterin Biosynthesis II,0.525,0.333,#NUM!,#NUM!,PTS
Tyrosine Biosynthesis IV,0.525,0.333,#NUM!,#NUM!,PCBD2
4-aminobutyrate Degradation I,0.525,0.333,#NUM!,#NUM!,SUCLG2
N-acetylglucosamine Degradation I,0.525,0.333,#NUM!,#NUM!,AMDHD2
Mechanisms of Viral Exit from Host Cells,0.517,0.146,#NUM!,#NUM!,"CHMP3,PRKCD,PRKCI,TSG101,VPS25,VPS4A"
"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",0.511,0.2,#NUM!,#NUM!,"HHEX,TSC22D1"
Urea cycle,0.511,0.2,#NUM!,#NUM!,"ARG2,NAGS"
Creatine metabolism,0.511,0.2,#NUM!,#NUM!,"SLC6A12,SLC6A8"
Ketone body metabolism,0.511,0.2,#NUM!,#NUM!,"HMGCL,OXCT1"
RHOBTB3 ATPase cycle,0.511,0.2,#NUM!,#NUM!,"HGS,RAB9B"
Protein lipoylation,0.511,0.2,#NUM!,#NUM!,"DLST,LIPT2"
Glucose and Glucose-1-phosphate Degradation,0.511,0.2,#NUM!,#NUM!,"PGM2,PGM3"
Th1 and Th2 Activation Pathway,0.499,0.125,#NUM!,#NUM!,"ACVR2B,BHLHE41,CCR3,CD274,GATA3,HLA-B,ICAM1,IFNAR1,IL24,JAK3,MAP2K6,NOTCH1,NOTCH2,NOTCH3,PIK3C2B,PIK3R1,PIK3R3,STAT5A,STAT5B,STAT6,TGFB1,TGFBR3"
IL-17A Signaling in Gastric Cells,0.484,0.154,#NUM!,#NUM!,"CXCL11,EGFR,MAPK13,RELA"
The Visual Cycle,0.484,0.154,#NUM!,#NUM!,"AKR1C3,DHRS3,DHRS7,DHRS9"
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I,0.484,0.154,#NUM!,#NUM!,"AK4,NME1,NME7,RRM2"
Processing and activation of SUMO,0.454,0.182,#NUM!,#NUM!,"SUMO3,UBA2"
Aspartate and asparagine metabolism,0.454,0.182,#NUM!,#NUM!,"ASNS,SLC25A13"
Prostanoid Biosynthesis,0.454,0.182,#NUM!,#NUM!,"CYP2S1,PTGES"
Pentose Phosphate Pathway,0.454,0.182,#NUM!,#NUM!,"TALDO1,TKT"
Ketolysis,0.454,0.182,#NUM!,#NUM!,"ACAT2,OXCT1"
RHO GTPases activate CIT,0.448,0.158,#NUM!,#NUM!,"DLG4,MYL12B,RHOC"
RHO GTPases Activate ROCKs,0.448,0.158,#NUM!,#NUM!,"MYL12B,PAK1,RHOC"
FOXO-mediated transcription,0.448,0.158,#NUM!,#NUM!,"AKT1,KAT2B,TXNIP"
NR1D1 (REV-ERBA) represses gene expression,0.424,0.25,#NUM!,#NUM!,NR1D1
NGF processing,0.424,0.25,#NUM!,#NUM!,NGF
Threonine catabolism,0.424,0.25,#NUM!,#NUM!,RIDA
Lysosomal oligosaccharide catabolism,0.424,0.25,#NUM!,#NUM!,MAN2B1
2-ketoglutarate Dehydrogenase Complex,0.424,0.25,#NUM!,#NUM!,DLST
Branched-chain α-keto acid Dehydrogenase Complex,0.424,0.25,#NUM!,#NUM!,BCKDHB
Guanine and Guanosine Salvage I,0.424,0.25,#NUM!,#NUM!,LACC1
Heme Biosynthesis from Uroporphyrinogen-III I,0.424,0.25,#NUM!,#NUM!,PPOX
Spermine and Spermidine Degradation I,0.424,0.25,#NUM!,#NUM!,SAT1
Catecholamine Biosynthesis,0.424,0.25,#NUM!,#NUM!,DBH
Inosine-5'-phosphate Biosynthesis II,0.424,0.25,#NUM!,#NUM!,ADSL
Adenine and Adenosine Salvage I,0.424,0.25,#NUM!,#NUM!,LACC1
Oxidized GTP and dGTP Detoxification,0.424,0.25,#NUM!,#NUM!,RUVBL2
Rapoport-Luebering Glycolytic Shunt,0.424,0.25,#NUM!,#NUM!,PGAM1
NAD Biosynthesis III,0.424,0.25,#NUM!,#NUM!,NAMPT
N-acetylglucosamine Degradation II,0.424,0.25,#NUM!,#NUM!,AMDHD2
Phenylalanine Degradation I (Aerobic),0.424,0.25,#NUM!,#NUM!,PCBD2
"Fatty Acid β-oxidation III (Unsaturated, Odd Number)",0.424,0.25,#NUM!,#NUM!,ECI2
Signaling by Hippo,0.411,0.15,#NUM!,#NUM!,"CASP3,SAV1,STK3"
SUMOylation of transcription factors,0.411,0.15,#NUM!,#NUM!,"MTA1,SUMO3,TP53"
Receptor-type tyrosine-protein phosphatases,0.411,0.15,#NUM!,#NUM!,"IL1RAPL1,PTPRF,PTPRS"
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate),0.411,0.15,#NUM!,#NUM!,"ACAT2,IDI1,PMVK"
Signaling by Leptin,0.405,0.167,#NUM!,#NUM!,"STAT5A,STAT5B"
GP1b-IX-V activation signalling,0.405,0.167,#NUM!,#NUM!,"COL1A2,PIK3R1"
Butyrophilin (BTN) family interactions,0.405,0.167,#NUM!,#NUM!,"PPL,XDH"
Signaling by LTK,0.405,0.167,#NUM!,#NUM!,"PIK3R1,SOS1"
Ketogenesis,0.405,0.167,#NUM!,#NUM!,"ACAT2,HMGCL"
Oleate Biosynthesis II (Animals),0.405,0.167,#NUM!,#NUM!,"FADS2,SCD"
γ-glutamyl Cycle,0.405,0.167,#NUM!,#NUM!,"ANPEP,GGT5"
